userType,age,gender,educationLevel,occupation,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,rentPayment,utility1Payment,utility2Payment,gpa,collegeScore,cosignerIncome,scholarship,creditScore
student,30,other,bachelors,student,0.0,0.0,0.0,0.0,4363.92,0.0,on-time,na,na,7.37,93,0.0,0,73
student,28,female,bachelors,student,0.0,0.0,0.0,0.0,624.24,0.0,on-time,on-time,on-time,6.64,78,0.0,0,76
student,24,female,bachelors,student,414.02,0.0,0.0,0.0,0.0,0.0,late,late,on-time,6.94,85,0.0,0,63
working,34,male,bachelors,technician,103428.16,71199.67,61338.88,25620.45,34012.08,81928.95,on-time,on-time,on-time,,,,,78
working,58,female,masters,sales,41828.6,32609.62,20059.24,24855.89,105332.75,24887.47,late,on-time,na,,,,,53
working,43,other,bachelors,technician,74844.9,80157.85,106492.05,82224.99,51587.71,106171.14,on-time,on-time,on-time,,,,,81
working,50,male,masters,clerk,32877.53,91002.57,31518.6,61770.0,105208.43,111664.9,on-time,on-time,late,,,,,76
student,29,male,masters,student,1108.4,3694.62,0.0,0.0,0.0,4260.62,late,na,on-time,5.97,73,0.0,0,66
student,27,male,bachelors,student,0.0,1558.17,0.0,1060.56,0.0,0.0,late,na,on-time,7.88,71,0.0,1,71
student,20,male,bachelors,student,0.0,0.0,1036.92,2409.55,0.0,2645.48,on-time,late,on-time,6.17,90,0.0,0,66
working,60,female,phd,clerk,76478.6,85472.77,70107.15,32469.3,97415.95,63862.82,on-time,on-time,on-time,,,,,85
working,29,male,masters,manager,63781.0,16410.7,10150.94,19118.79,32827.97,113986.77,on-time,on-time,late,,,,,60
student,27,female,bachelors,student,2983.92,0.0,0.0,3751.48,4632.05,0.0,late,late,na,9.59,86,0.0,0,95
student,23,female,bachelors,student,0.0,0.0,0.0,0.0,2026.22,0.0,on-time,on-time,late,5.15,74,136623.31,1,76
student,30,male,other,student,0.0,0.0,0.0,0.0,0.0,966.68,late,late,na,8.7,89,0.0,0,66
